RADICADO;TIPO DE CLIENTE;TIPO TRAMITE;SEGMENTO CLIENTE;COMENTARIO;CLASIFICACION
POL-43612865;DETRACTOR;Poderes Leasing Call Center;CLASICO;LLEVO UNA SEMANA PASADO HE ESTADO EN ESO Y NO EM HAN PODIDO DAR INFORMACION Y LOS ASESORE NO SABEN DE QUE ESTAN HABLANDO NO SABEN BIEN LA INFORMACION ASI QUE LA INFORMACION DEBERIAN DE SER MAS CLAROS CON LA INFORMACION;CLARIDAD INFORMACION
1-42054370718;DETRACTOR;Copia De Documentos Cartera;PREMIUM;NUNCA ME LLEGO EL DOCUMENTO,ESTOY PENDIENTE DE VOLVER A LLAMARLOS,ESTOY EN ESAS DESDE EL 8 DE ABRIL.;FALTA DE RESPUESTA
1-42235580713;DETRACTOR;Copia De Documentos Cartera;PREMIUM;NO HA RECIBIDO EL DOCUMENTO DESDE 9 ABRIL. HACE OCHO DIAS LLAME, ME DIJERON QUE SE PUEDE DEMORAR HASTA EL 30 DE MAYO.;FALTA DE RESPUESTA
1706884742056-72;DETRACTOR;Certificaciones Especiales;PREMIUM;NO ME ESCRIBAN MAS. ME VOY A QUEJAR EN LA SUPERINTENDENCIA, YA HE SOLICITADO QUE ME SAQUEN DE SUS BASES DE DATOS NO QUIERO SABER NADA DE DAVIVIENDA;INCONFORMIDAD SERVICIO
CES-1020789273;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MUY MALA LA ATENCION NO BRINDAN SOLUCIONES SI NO GENERAN PROBLEMAS;INCONFORMIDAD SERVICIO
1-41683696059;DETRACTOR;Copia De Documentos Cartera;CLASICO;A LA FECHA NO HE RECIBIDO EL DOCUMENTO Y HAN PASADO MAS DE 35 DIAS;FALTA DE RESPUESTA
POL-35458085;DETRACTOR;Poderes Leasing Call Center;PREMIUM;QUEDARON DE LLAMARME Y LA INFORMACION NUNCA FUE PRECISA EN 3 OCASIONES. QUE HAYA UN CANAL DE COMUNICACION ESPECIFICO SOBRE ESA EVENTUALIDAD.;CLARIDAD INFORMACION
1-42144899395;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;LLEVA DOS SEMANAS DE DEMORA, EL CREDITO LO LLEVA PAGANDO HACE 6 MESES.;DEMORA TRAMITE
CES-73124426;DETRACTOR;Certificaciones Especiales Call Center;INCLUSION;MUCHA DISPLICENCIA;INCONFORMIDAD SERVICIO
1712675435076-76;DETRACTOR;Certificaciones Especiales;CLASICO;ES PESIMO ME LLAMARON FUI AL BANCO ME DIJERON QUE 2 HORAS Y ME LLEGO A LOS 3 DIAS Y EN LA NOCHE, QUE CUMPLAN LOS TIEMPOS, FUI AL BANCO LE ROGUE A LA SENORA ME LLAMARON AL OTRO DIA Y ME DIJERON QUE EN 48 HORAS Y NO LLEGO A LOS 3 DIAS SUPER PESIMA LA EXPERIENCIA LA ATENCION DE USTEDES ES DEMASIADO PESIMA TANTO POR TELEFONO O EN LAS OFICINAS EL SERVICIO ES HORROROSO.;DEMORA TRAMITE
CES-1002353684;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ME RESUELVEN NADA DEL CREDITO DE LA CASA HE ECHO VARIAS LLAMADAS A BOGOTA Y NO A RESUELTO NADA.;FALTA DE RESPUESTA
1712349822235-67;DETRACTOR;Poderes Leasing;PREMIUM;POR QUE CUANDO A MI ME HICIERON EL LEASING ME DIJERON QUE LO PODIA PAGAR POR EL POR LA TARJETA Y YA LUEGO QUE YA NO SE PODIA POR AHI ME TOCA CAMBIAR Y INTENTAR POR OTRO LADO;CLARIDAD INFORMACION
CES-1055313263;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;REALMENTE COMO NO TENGO NINGUN PRODUCTO CON DAVIVIENDA, SIEMPRE HA SIDO MUY DIFICIL SOLICITAR SOLICITAR CERTIFICACIONES DEL CREDITO HIPOTECARIO QUE TENGO.;INCONFORMIDAD SERVICIO
CES-1004548986;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;VERIFICAR LA INFORMACION NO FUE CLARA NI LA MISMA;CLARIDAD INFORMACION
1-42288826789;DETRACTOR;Poderes Leasing;CLASICO;SIN COMENTARIOS.;SIN COMENTARIO
POL-1032404649;DETRACTOR;Poderes Leasing Call Center;PREMIUM;SER MAS CLARO EN LOS PROCESOS, MEJOR ASESORAMIENTO POR PARTE DE LOS ASESORES. ME SIENTO AFECTADO, YO CONTRATE CON UNAS CONDICIONES DIFERENTES, DEBO MUCHO MAS DE LOS QUE SOLICITE.;CLARIDAD INFORMACION
1707253563466-74;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ME DIJERON QUE ERA UN PROCESO DE 15 DIAS Y LLEVO 3 MESES CON ESO,NO DAN RESPUESTA DE NADA. EL BANCO NO ME DA RAZON ME, DIJERON QUE ME TENIA QUE COMUNICAR CON 100 CUADRAS Y SI EL PRESTAMO ME LO HICIERON EN EL BANCO.;DEMORA TRAMITE
1-42199615539;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;TUVE MUCHOS PROBLEMAS CON DAVIVIENDA PARA HACER ESTA DILIGENCIA VARIAS VECES ME HICIERON ACTUALIZAR DATOS Y LOS FUNCIONARIOS ME DIERON MUY MALA INFORMACION Y PUES POR ESE MOTIVO TAMBIEN ES LA CALIFICACION;INCONFORMIDAD SERVICIO
1712621523784-45;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;OFICIALMENTE TODOS LO CREDITOS HAN ESTADO A PAZ Y SALVO Y CON EL LEVANTAMIENTO DE PRENDA TAMBIEN YO SOLICITE EL ENVIO DEL PAZ Y SALVO Y AUN NADA QUE ME LO ENVIAN;FALTA DE RESPUESTA
1712266710414-05;DETRACTOR;Certificaciones Especiales;CLASICO;CUANDO UNO PIDA INFORMACION O SE ACERCA A UNA OFICINA LA GENTE SEPA QUE RESPONDER,LA GENTE DE LA OFICINA NO TIENE NI IDEA,DAN INFORMACION ERRADA,NO SABEN,LO HACEN PERDER EL TIEMPO A UNO.;CLARIDAD INFORMACION
1712865012562-04;DETRACTOR;Poderes Leasing;PREMIUM;TENGO UNA DIFICULTAD EN CUANTO AL PAGO DEL PREDIAL,ESTA MAL LA FACTURA Y DAVIVIENDA YA LO HABIA ECHO,NUNCA ATENDIERON ESE REQUERIMIENTO Y DAVIVIENDA PAGO Y TENGO QUE RESPONDER YO,PAGAR ESE SALDO YO.;OTRO
1712268158179-86;DETRACTOR;Certificaciones Especiales;CLASICO;NINGUNO POR EL MOMENTO.;SIN COMENTARIO
1712244806169-88;DETRACTOR;Certificaciones Especiales;CLASICO;SI LO QUE PASA ES QUE NO AGILIZAN CIERTOS DOCUMENTOS Y PUES ES MUY DEMORADO Y YA LLEVO MUCHO TIEMPO PIDIENDO QUE ME ACELEREN EL PAZ Y SALVO;DEMORA TRAMITE
1704818385024-10;DETRACTOR;Levantamiento De Hipoteca;CLASICO;YO HE LEVANTADO CON BBVA Y BANCO DE BOGOTA Y CON ELLOS NO HE TENIDO PROBLEMAS DAVIVIENDA CERTIFICA ESO CON 100 CUADRAS YO SI LES RECOMENDARIA QUE LO HICIERAN PERSONALMENTE, PERO DESAFORTUNADA LA ATENCION DE 100 CUADRAS FUE REGULAR TIRANDO A PESIMO.;INCONFORMIDAD SERVICIO
1708633166364-98;DETRACTOR;Levantamiento De Hipoteca;CLASICO;QUE EL TIEMPO PARA RESPONDER SEA MAS CORTO;DEMORA TRAMITE
1710446357404-01;DETRACTOR;Levantamiento De Hipoteca;CLASICO;.DEBERIA ESTAR INCLUIDO TODO;INCONFORMIDAD SERVICIO
CES-5092684;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NINGUN COMENTARIO;SIN COMENTARIO
1712414876005-64;DETRACTOR;Poderes Leasing;CLASICO;TUVE UN TEMA DE COMUNICACION CON UN LEASING DEL PREVIA QUE NO ME HAN RESULTO Y PUES ME DIJERON QUE TENIA GENERAR LA DOCUMENTACION NUEVAMENTE Y ASI YA LLEVO 2 ANOS Y AUN NO ME HAN PODIDO DAR RESPUESTA DE PARTE DEL BANCO;FALTA DE RESPUESTA
1712588354292-13;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;EN OTROS BANCOS HE TENIDO LA MISMA LA SOLICITUD Y HA SIDO MUY FACIL SIMPLEMENTE HABIA QUE HACER UNA CONSIGNACION Y LISTO,EN CAMBIO AQUI ES DEMASIADO COMPLEJO.;INCONFORMIDAD SERVICIO
1712258945314-58;DETRACTOR;Certificaciones Especiales;INCLUSION;NINGUNO POR EL MOMENTO.;SIN COMENTARIO
CES-38251361;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ATIENDEN RAPIDO;DEMORA TRAMITE
1712597572900-88;DETRACTOR;Certificaciones Especiales;CLASICO;SOLICITO POR EL TELEFONO ROJO EL CERTIFICADO NO SE LO ENVIARON POR LO QUE LO HIZO POR LA OFICINA PERO QUEDO MAL REDACTADO EL PAZ Y SALVO;ENTREGA DOCUMENTOS
CES-51851040;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO HUBO CLARIDAD EN LA INFORMACION DE SU SOLICITUD, FALTA MAS DE APOYO POR PARTE DEL BANCO EN CUENTO A CREDITO;CLARIDAD INFORMACION
POL-86050069;DETRACTOR;Poderes Leasing Call Center;PREMIUM;ES PESIMO PESIMO;INCONFORMIDAD SERVICIO
1-42170797144;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;A MI NO ME DIERON NINGUN PAPEL ME DIJERON QUE FUERA AL TRANSITO A MI SIEMPRE ME ENTREGAN LA PRENDA, LA ATENCION AL CLIENTE MUCHAS VECES LLAME ME DICEN UNA COSA IBA A LA OFICINA Y ME DECIAN POTRA COSA.;CLARIDAD INFORMACION
1712588260843-01;DETRACTOR;Levantamiento Prenda Vehiculo;INCLUSION;TUVO QUE CONTACTAR VARIAS VECES POR VARIOS MEDIOS PARA QUE EL PROCEDIMIENTO FUERA EXITOSO;FALTA DE RESPUESTA
1-41643450435;DETRACTOR;Levantamiento De Hipoteca;PREMIUM PLUS;SER MAS CLARO AL PRINCIPIO EN CUANTO AL PROCESO QUE SE DEBE SEGUIR;CLARIDAD INFORMACION
1-41981617005;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;QUE NO HABIA CLARIDAD EN CUANTO EL TIEMPO DE RESPUESTA.LA ENCUENTA ES CON LOS ASESORES QUE ME ATENDIERON DE PRIMERA VEZ PORQUE LOS QUE FINALIZARON FUERON BIEN.;CLARIDAD INFORMACION
CES-79005093;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;AUN ESTOY ESPERANDO SOLUCION GRACIAS;FALTA DE RESPUESTA
1712079065689-42;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);CLASICO;PRONTITUD EN RECIBIR LAS NOVEDADES;FALTA DE RESPUESTA
CES-43527061;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;LLEVO MAS DE 15 DIAS ESPERANDO UNA TARJETA DE CREDITO , PARA PODER HACER PAGOS DE LA MISMA Y NADA NO ME SOLUCIONAN;FALTA DE RESPUESTA
1-42657374024;DETRACTOR;Copia De Documentos Cartera;CLASICO;SE NECESITO MAS DE DOS MESES PARA RECIBIR EL DOCUMENTO SOLICITADO, LUEGO DE HACER MAS DE 4 SOLICITUDES AL RESPECTO. EL SERVICIO FUE PESIMO.;INCONFORMIDAD SERVICIO
CES-3112429327;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;QUE EL SERVICIO ES MUY MALO.;INCONFORMIDAD SERVICIO
CES-51932314;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;HABLE CON MAS DE UN ASESOR ROGANDO EL FAVOR ME ENTREGARAN LA TARJETA EN BOGOTA Y NO FUE POSIBLE. DURANTE TRES DIAS CONSECUTIVOS NO ATENDIERON LAS EXTENSIONES DE LA OFICINA CALLE 19.;OTRO
POL-3125394789;DETRACTOR;Poderes Leasing Call Center;CLASICO;PESIMO SERVICIO, LLEVO MESES SOLICITANDO UN DOCUMENTO Y NADIE ME DA SOLUCION;INCONFORMIDAD SERVICIO
1709744783585-78;DETRACTOR;Levantamiento De Hipoteca;PREMIUM;POR PARTE DE CIENCUADRAS, DESINFORMACION, SIN INFORMACION PRECISA, EN CADA LLAMADA INFORMACION DIFERENTE Y COMPROMISOS DE CONTACTO INCUMPLIDOS;CLARIDAD INFORMACION
CES-1151969309;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ME PARECIO FALTA DE RESPETO QUE TENGA QUE IR A UNA OFICINA Y ME ENVIEN AL CORREO UN CERTIFICADO PASANDO 3 DIAS CUANDO ME INFORMARON EN LA SUCURSAL DE COSMOCENTRO EN LA CIUDAD DE CALI QUE A MAS TARDAR AL DIA SIGUIENTE DE QUE ME PRESENTE ME LLEGARIA AL CORREO;ENTREGA DOCUMENTOS
CES-19456367;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MAL SERVICIO;INCONFORMIDAD SERVICIO
POL-51984634;DETRACTOR;Poderes Leasing Call Center;PREMIUM;PESIMO. PESIMO EL SERVICIO. LA ROBOTIZACION NO SIRVE PARA TODOS LOS CASOS, PORQUE TODOS LOS CASOS NO SON IGUALES. DESDE EL 4 DE MAYO 2014 ESTUVE SOLICITANDO EL PODER PARA PODER DIFERIR EL IMPUESTO Y NO FUE POSIBLE. TODOS LOS PODERES QUE LLEGARON4 TENIAN EL MISMO TEXTO LIQUIDACION DE IMPUESTOS Y EN TODAS MIS SOLICITUDES A LAS PERSONAS QUE ME ATENDIERON Y POR ESCRITO PEDI. D QUE INCLUYERAN LAS PALABRAS PRESENTAR FIRMAR Y DECLARAR PORQUE ASI LO PEDIA SECRETARIA DE HACIENDA Y NO FUE POSIBLE. ESTA RESPUESTA LLEGA EL 10 DE MAYO. LAS 7;INCONFORMIDAD SERVICIO
1-42451138498;DETRACTOR;Copia De Documentos Cartera;PREMIUM;LLEVO UN MES Y NO ME ENTREGAN COPIA DEL CONTRATO LEASING, LLAMO Y ME DICEN Q YA CASI Y ASI LLEVO 4 SEMANAS. ME TOCARA REALIZAR UN DERECHO DE PETICION.;FALTA DE RESPUESTA
CES-80459077;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;NECESITO QUE ME RESUELVAN MI SOLICITUD. DOS LLAMADAS HE HECHO A SU LINEA DE ATENCION Y NINGUNA ME HA SIDO RESUELTA. POR FAVOR;FALTA DE RESPUESTA
CES-43456907;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;EL PEOR BANCO DE COLOMBIA, LA PEOR EXPERIENCIA HASTA PARA MANDAR UN PAZ Y SALVO, ASESORES SIN CONOCIMIENTO DE LOS PROCESOS, MUY MALO;INCONFORMIDAD SERVICIO
CES-39749404;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;SOLICITE UN PAZ Y SALVO DE MI CREDITO DE CONSUMO, Y EL ASESOR DEJO DE 5 A 10 MINUTOS LE LLEGA A SU CORREO, ESTO FUE SOLICITADO EL 16 DE MAYO 2024 Y ES LA HORA QUE NO RECIBO RESPUESTA, VOY A UN BANCO DAVIVIENDA Y DICEN QUE TIENE QUE SER POR LA APLICACION, POR FAVOR NO JUEGUEN CON EL TIEMPO DEL CLIENTE;FALTA DE RESPUESTA
CES-93396927;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MUY MALA LA ATENCION NO DAN RESPUESTA A LOS REQUERIMIENTOS SOLICITADOS NO RECOMIENDO ESTE CALL CENTER ES LO PEOR;INCONFORMIDAD SERVICIO
CES-19408384;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;DAVIVIENDA TIENE UNOS ASESORES QUE POR EL AFAN NO CUMPLEN CON SOLUCIONAR CORRECTAMENTE LOS INCONVENIENTES QUE SE PRESENTAN DURANTE LOS TRAMITES CON EL CLIENTE DEL BANCO.;INCONFORMIDAD SERVICIO
CES-1040740268;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;SON UNOS HIJUEPUTAS;INCONFORMIDAD SERVICIO
CES-55309006;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ME ATENDIO EL.ASESOR. ADEMAS NO HAY LINEAS TELEFONICAS PARA UNO LLAMAR;FALTA DE RESPUESTA
CES-19103790;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MAS EFICIENCIA EN EL PROCESO SOLICITADO;DEMORA TRAMITE
CES-73129761;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;OK;SIN COMENTARIO
CES-1045679429;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM PLUS;LLEVO UNA SEMANA PIDIENDO UN TRAMITE Y NO ME HAN RESUELTO NADA;FALTA DE RESPUESTA
1-42517961697;DETRACTOR;Copia De Documentos Cartera;CLASICO;PEDI 3 VECES UN CERTIFICADO Y ME ENVIABAN ALGO DISTINTO A LO SOLICITADO;ENTREGA DOCUMENTOS
1710969677967-68;DETRACTOR;Levantamiento De Hipoteca;CLASICO;NO LO RECOMENDARIA JAMAS PESIMO DAVIVIENDA;INCONFORMIDAD SERVICIO
CES-79901092;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;EL SERVICIO DEJA MUCHO QUE DESEAR, NO SE PARA QUE COBRAN CUOTA DE MANEJO DE LA TARJETA DE CREDITO SI NO HAY GESTION PARA AYUDAR AL CLIENTE;OTRO
1-41937302373;DETRACTOR;Poderes Leasing;PREMIUM;LA ATENCION DEL AREA QUE ADMINISTRA LAS GARANTIAS DE LEASING HABITACIONAL Y CREDITO HIPOTECARIO, ES PESIMA EN EL CALL CENTER NADIE SABE NADA Y SE REQUIERE GESTIONAR TODO A TRAVES DE UN BUZON DE CORREO, DONDE SOLO SE BUSCA PONER TRABAS Y DILATAR LA SOLUCION, PARA QUE LOS CLIENTES DESISTAMOS DE LOS REQUERIMIENTOS. TAN PRONTO PUEDA, GESTIONO UNA COMPRA DE CARTERA CON OTRO BANCO, PARA NO TENER QUE VOLVERLOS A CONTACTAR.;INCONFORMIDAD SERVICIO
CES-1094913182;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;PESIMA MAS QUE PESIMA;SIN COMENTARIO
CES-31165990;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;CONSIDERO QUE LA SOLICITUD DEBIO SER RESUELTA DE INMEDIATO EN EL BANCO YA QUE ERA SOLO UN PAZ Y SALVO DE CANCELACION DE UN CREDITO QUE YA TENIA MAS DE UN MES CANCELADO;DEMORA TRAMITE
1-42080392573;DETRACTOR;Levantamiento De Hipoteca;INCLUSION;EXCELENTE;SIN COMENTARIO
CES-1013676563;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;LA ASESORA CON LA QUE ME COMUNIQUE POR EL CHAT NO TENIA CONOCIMIENTO DE LO QUE LE ESTAN PREGUNTANDO, NO ME COLABORO CON LA SOLICITUD, ME HABLABA SN UN MAL TONO Y NO ME AYUDO CON EL REQUERIMIENTO QUE LE PEDI, ADEMAS DE QUE NO FUE CLARA CON LA INFORMACION QUE LE PEDI.;CLARIDAD INFORMACION
CES-1037608085;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;TERMINE DE PAGAR MI CREDITO Y PARA MI PAZ Y SALVO ME EXIGEN ACTUALIZAR DATOS CUANDO CLARAMENTE AL TENER YA CUENTA NO ME DEJA INGRESAR A NADA DE ESO NI MUCHOS MENOS A LA PAGINA WEB Y UN ASESOR ME DICE QUE ACTUALICE MI CORREO PORQUE TIENEN 2 CORREOS Y ME LO ENVIARON AL MALO,LES DIGO ESE NO ES EL CORREO CORRECTO Y QUE OBLIGATORIAMENTE DEBO INGRESAR MIS ACTUALIZACION DE DATOS POR LA PAGINA Y NO PUEDO INGRESAR PORQUE NO ESTOY SCTIVA. ES MUY SENCILLO SOLO ENVIARLE UN PAZ Y SALVO AL CLIENTE DESPUES DE QUE PAGO TODO Y NO PONERLO EN ESTA SITUACION MI CORREO ES DISENOSPALA@GMAIL.COM MIL GRACIAS;INCONFORMIDAD SERVICIO
CES-71481414;DETRACTOR;Certificaciones Especiales Call Center;INCLUSION;UNO LLAMA A DAVIVIENDA Y COMO UNO NO TIENE PRODUCTOS NO HAY OPCION DE QUE LO ATIENDAN PESIMO SERVICIO. GRACIAS;INCONFORMIDAD SERVICIO
CES-52024823;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM PLUS;AUN NO SE HA RESUELTO POR QUE ENVIAN ESTA ENCUESTA;CLARIDAD INFORMACION
1-42855830979;DETRACTOR;Copia De Documentos Cartera;CLASICO;VOY A SACAR UN DERECHO DE PETICION. QUE SEAN SERIOS EN EL TEMA DE LA DOCUMENTACION. TENGO 3 NUMEROS DE RADICADO Y NO ME HAGAN DADO RESPUESTA.;INCONFORMIDAD SERVICIO
1709997267047-90;DETRACTOR;Levantamiento De Hipoteca;CLASICO;FUE DEMASIADO LARGO EL TIEMPO DEBEN TENER COMUNICACION CON LOS CLIENTES;DEMORA TRAMITE
1-41396558897;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;MEJORAR EL SERVICIO;INCONFORMIDAD SERVICIO
1-42819927927;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;PEDI ESOS PAPELES HACE BASTANTE TIEMPO Y NUNCA LLEGO.;DEMORA TRAMITE
1-42812477109;DETRACTOR;Copia De Documentos Cartera;CLASICO;AGILIDAD Y EL TIEMPO;DEMORA TRAMITE
1-42572703985;DETRACTOR;Copia De Documentos Cartera;PREMIUM;AUN NO ME HA LLEGADO , FUI AL BANCO A PEDIRLO Y NADA, LO EH PEDIDO 3 VECES Y NO HABIDO FORMA DE QUE ME LO ENVIEN.;ENTREGA DOCUMENTOS
CES-79921664;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;.YO POR ESO REPORTE TODO ESO ANTE EL DEFENSOR DEL CLIENTE;INCONFORMIDAD SERVICIO
POL-52858819;DETRACTOR;Poderes Leasing Call Center;PREMIUM;LLEVO UN MES QUE ME PASEN UNA CARTA, PARA QUE ME AUTIOCEN EL PAGO DEL PREDIAL. PERDI LOS BENEFICIOS. LA SENORITA ME DIJO QUE ME LLEGABA EN 5.;FALTA DE RESPUESTA
1706718816528-23;DETRACTOR;Levantamiento De Hipoteca;PREMIUM PLUS;EL PROCESO FUE DEMASIADO DEMORADO;DEMORA TRAMITE
1-42512517957;DETRACTOR;Copia De Documentos Cartera;CLASICO;NO ME HA LLEGADO;FALTA DE RESPUESTA
1712872547393-18;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;HE PAGADO EL LEVANTO DE PRENDAS 3 VECES Y AUN REGISTRA SIN LEVANTAMIENTO.;DEMORA TRAMITE
1-42593314524;DETRACTOR;Copia De Documentos Cartera;PREMIUM PLUS;NINGUNO POR EL MOMENTO;SIN COMENTARIO
1-42826100412;DETRACTOR;Copia De Documentos Cartera;CLASICO;.SIN COMENTARIOS;SIN COMENTARIO
POL-80207322;DETRACTOR;Poderes Leasing Call Center;PREMIUM;.PESIMO SERVICIO;INCONFORMIDAD SERVICIO
POL-80185935;DETRACTOR;Poderes Leasing Call Center;PREMIUM;SER MAS HONESTO CON LOS CLIENTES. ME DIJERON QUE LAS CONDICIONES ERAN LAS MISMAS QUE CON HIPOTECA. SIEMPRE QUE HE NECESITADO ALGUNA INFORMACION, NADIE ME DA INFORMACION.;CLARIDAD INFORMACION
1-42316832280;DETRACTOR;Copia De Documentos Cartera;CLASICO;SE DEMORARON UN MES EN DARME RESPUESTA PESIMO SERVICIO, EL CALL CENTER NO SABE NADA DE NADIE LOS TIENEN QUE CAPACITAR.;DEMORA TRAMITE
1712094016369-49;DETRACTOR;Cambio De Condiciones(Subarrendamiento);PREMIUM;EL PROCESO ES MUY IMPERSONAL YA QUE TODO SE DEBE HACER POR LA PAGINA , CONSIDERA QUE SE DEBE TENER ACOMPANAMIENTO POR PARTE DE ALGUN FUNCIONARIO;INCONFORMIDAD SERVICIO
01-19202626-9090;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;MALA FUE MUY MALA;INCONFORMIDAD SERVICIO
1710966480482-55;DETRACTOR;Levantamiento De Hipoteca;CLASICO;100 CUADRAS ME PARECIO UN PETARDO TENAS EL TRAMITE CON ELLOS NO FUERON DILIGENTES ME TOCO SIEMPRE LLAMAR , TIENEN QUE ANALIZAR BIEN EL PROVEEDOR QUE HACE TRAMITES;INCONFORMIDAD SERVICIO
1-42390185842;DETRACTOR;Copia De Documentos Cartera;PREMIUM;MALO TODO ,PEDI UNA COPIA DE LAS ESCRITURAS NO ME LAS HAN DADO HACE 2 MESES,QUE ME MANDEN LOS DOCUMENTOS;DEMORA TRAMITE
01-52419045-1279;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;.FUE MUY DIFICIL HACERLO .QUE ES DIFICIL QUE LE CONTESTEN A UNO;CLARIDAD INFORMACION
1-42676340338;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;.YO NECESITO QUE SUBAN LAS GARANTIAS AL RUN .POR LA PARTE DE GESTIONAR BIEN PERO NO ME DIERON LA GARANTIA PRENDARIA .YO ESTOY MUY MOLESTO POR QUE TENGO MUCHOS CREDITOS CON USTEDES EL DIRECTOR DE LA .OFICINA DE MOSQUERA ME DIERON LA FICHA Y DURE 2 HORAS Y ME DIJO QUE LE NO ESTABA MAMANDO GALLO;DEMORA TRAMITE
1-42252430314;DETRACTOR;Copia De Documentos Cartera;PREMIUM;.NO ME DIERON RESPUESTA QUE LE HAGAN SEGUIMIENTO PARA UN TRAMITE IMPORTANTE;FALTA DE RESPUESTA
1711040984818-68;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ES UNA TOMADERA DE PELO CON EL CLIENTE ME MANDAN EL BANCO SI DICE QUE SE DEMORA DE 13 A 24 HORAS EN TOMAR EL PAGO SIN EMBARGO NO ES VERDAD ES MALA INFORMACION UNO VA AL CALL CENTER Y DESPUES AL BANCO DICEN UNA COSA Y LA OTRA Y CON CINE CUADRAS ES TERRIBLE Y PUE SLA VERDAD ESO UNA MANADA DE MENTIRAS CON EL CLIENTE Y MUY MALA INFORMACION REALMENTE LO QUE USTEDES HACEN ES COMPLICAR MUCHO MAS EL PROCESO ES MUY MALO EL SERVICIO CON USTEDES;CLARIDAD INFORMACION
1-42573031981;DETRACTOR;Copia De Documentos Cartera;PREMIUM;NUNCA LLEGO EL DOCUMENTO,NECESITO QUE ME CONFIRMEN SI LLEGA EL DOCUMENTO;ENTREGA DOCUMENTOS
1-42084925085;DETRACTOR;Cambio De Condiciones(Disminucion De Plazo);CLASICO;DAVIVIENDA NUNCA ME TOCO PONERME ATENCION, TUVO QUE PAGAR EL SERVICIO DE ABOGADOS. QUE HAYA UNA CUOTA FIJA, QUE NO ESTE SUBIENDO ESO.;INCONFORMIDAD SERVICIO
1-41968880121;DETRACTOR;Copia De Documentos Cartera;CLASICO;ME TOCO IR A LA SUPERINTENDENCIA. LA PAGINA DICE QUE PARA LA SOLICITUD DE ESTOS DOCUMENTOS ERAN 3 DIAS HABILES,ERA INFORMACION ERRONEA,FUI A LA OFICINA Y ABIEN ME DIERON INFORMACION ERRONEA,NO SON CLAROS CON LA INFORMACION ,NI RESUELVEN.;DEMORA TRAMITE
1715803163162-35;DETRACTOR;Levantamiento Prenda Vehiculo Digital;CLASICO;ERAN 2 PRENDAS ME DIERON EL VISTO BUENO DE 1 Y EL OTRO AN PASADO 15 DIAS Y SIGO ESPERANDO;DEMORA TRAMITE
1-42819769088;DETRACTOR;Copia De Documentos Cartera;PREMIUM;LO HE HECHO DOS VECES Y NO HA LLEGADO Y HACE UN MES LO PEDI NUEVAMENTE Y ME DIJERON QUE ME LLEGABA UN CORREO QUE PARA LA VERIFICACION PERO HASTA LE MOMENTO NO HA LLEGADO NADA Y ME PARECE MUY MALO EL SERVICIO LA VERDAD;FALTA DE RESPUESTA
