RADICADO;TIPO DE CLIENTE;TIPO TRAMITE;SEGMENTO CLIENTE;COMENTARIO;CLASIFICACION;f
1705012780330-33;DETRACTOR;Levantamiento De Hipoteca;CLASICO;SENORES BUENAS TARDES, AUN DESPUES DE ESTE TIEMPO TRANSCURRIDO SIGO ESPERANDO LA TERMINACION  DEL PROCEDO DE CANCELACION DE LA HIPOTECA, TENGO ENTENDIDO QUE FALTA LA ULTIMA ESCRITURA DE CANCELACION CON EL CORRESPONDIENTE CERTIFICADO TRADICION Y LIBERTAD, ME DIJERON DEMORARIA APROXIMADAMENTE 20 DIAS Y YA PASO MAS DE UN MES,. LES AGRADEZCO SU ATENCION A ESTE REQUERIMIENTO. CLEMENCIA MURCIA 41596197,,,,3102690567.;DEMORA TRAMITE;414
POL-43610539;DETRACTOR;Poderes Leasing Call Center;CLASICO;CUANDO ESTUVIMOS EN EL TEMA DE LA PANDEMIA, TENIA BASTANTES COMPROMISOS CON LOS BANCOS, PEDI UNA NEGOCIACION CON TODOS LOS BANCOS, PERO CON DAVIVIENDA FUE MUY DIFICIL. EN ESTE MOMENTO HAGO EL PAGO DEL LEASING, CADA MES, SIEMPRE QUE HAGO EL PAGO ME PIDEN UN CODIGO QUE YO NUNCA TENGO, PORQUE NO TENGO CUENTA DE AHORROS. LA ATENCION EN LAS OFICINAS SE DEMORAN MUCHO. HASTA EL MES PASADO LO PAGUE SIN NINGUN PROBLEMA.;INCONFORMIDAD SERVICIO;414
1-41937302373;DETRACTOR;Poderes Leasing;PREMIUM;LA ATENCION DEL AREA QUE ADMINISTRA LAS GARANTIAS DE LEASING HABITACIONAL Y CREDITO HIPOTECARIO, ES PESIMA EN EL CALL CENTER NADIE SABE NADA Y SE REQUIERE GESTIONAR TODO A TRAVES DE UN BUZON DE CORREO, DONDE SOLO SE BUSCA PONER TRABAS Y DILATAR LA SOLUCION, PARA QUE LOS CLIENTES DESISTAMOS DE LOS REQUERIMIENTOS. TAN PRONTO PUEDA, GESTIONO UNA COMPRA DE CARTERA CON OTRO BANCO, PARA NO TENER QUE VOLVERLOS A CONTACTAR.;INCONFORMIDAD SERVICIO;419
1-41101452812;DETRACTOR;Copia De Documentos Cartera;CLASICO;HE TENIDO INCONVENIENTES CON  EL BANCO DESDE QUE TOME EL CREDITO POR QUE INICIALMENTE ME PROMETIERON UNA TASA DE INTERES Y DESPUES RESULTE CON UNA MAS ALTA DE LA QUE ME HABIAN PROMETIDO  Y LA OFERTA QUE ME HICIERON ERA LA MAS TENTATIVA Y YA CUANDO  LO IBAMOS HACER ME DIERON OTRA Y TOCO EMPEZAR A JUGAR PARA QUE ME LO DIERAN Y OTRA COSA  NO SE QUE PASA COM LOS PROCESOS DEL BANCO SIGO ESPERANDO LA LLAMADA DE OTRO PROCESO;OTRO;421
1709136303111-05;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;SUPER LENTO LA COMUNICACION NO FUE CLARA DESPUES UN PRINCIPIO DUPER DEMORADO EXPLICABAN UNA COSA Y DESPUES ESO E SUNA TRABA Y UNA TRABA Y SUPER DEMORADO LA VERDAD Y POR CULPA DE USTEDES LA VERDAD QUE PERDER MUCHO TIEMPO Y TUVE QUE CORRER FECHAS DE LA VENTA DE MI INMUEBLE Y TODO PORQUE DE VERDAD ES ABSURDO LA VERDAD DE QUE ESO SE TENGA QUE DEMORAR UNA O DOS SEMANAS MIENTRAS QUE EN OTROS BANCOS ESO NO TOMA TODO ESE TIEMPO;CLARIDAD INFORMACION;423
1709136303111-05;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;super toma la comunicacion verdad bancos de e un principio duper demorado explicaban la que y despues eso fechas ese fue y una y que y eso venta verdad cosa por culpa otros ustedes una despues traba en suna tiempo demorado tuve la correr que traba no lento de mi la clara todo porque perder verdad es absurdo la verdad de mucho eso se tenga inmueble demorar una de dos semanas mientras y y que que de no o todo super tiempo;CLARIDAD INFORMACION;423
1685740977608-38;DETRACTOR;Levantamiento De Hipoteca;CLASICO;La Agencia tercerizada Cien Cuadras ofrece un pesimo servicio de atencion al cliente. No explican bien el paso a paso, no resuelven dudas , no tienen un  linea para hablar con alguien solo por wthatsaap una maquina que solo contesta para ofrecer sus servicios pero no resuelve nada .  Me hicieron repetir varias veces el proceso y omitian como hacerlo de manera correcta desde el principio.En general personas muy negligentes.;INCONFORMIDAD SERVICIO;426
CES-1128392015;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ANTES INGRESABA POR LA SIM Y LLEVO VARIOS DIAS TRATANDO DE INGRESAR A LA PPA Y NO HE PODIDO, ME REMITEN CON UN ASESOR Y ME SOLICITAN FOTO DEL DOCUMENTO Y DE MI ROSTRO, PERO LA CAMARA QUE SE HABILITA ES MUY MALA Y COMO NO LOGRO ADJUNTAR EL DOCUMENTO ME CANCELAN LA CONVERSACION  REALIZAN UN CAMBIO Y PONEN MUCHOS INCONVENIENTES A LOS USUARIOS PARA HABILITAR UN INGRESO, APARTE NO LE DAN MAS OPCIONES PARA VERIFICAR LA INFORMACION;OTRO;428
01-8639132-4150;DETRACTOR;Poderes Leasing;PREMIUM;A MI ME ENGANARON ME SIENTO ENGANADO POR EL BANCO DAVIVIENDA PORQUE ME DIJERON QUE ME HIBAN A DAR UN SUBSIDIO Y PUES NO FUI BENEFICIADO CON NADA SIMPLEMENTE ME ENGANARON Y NO ME DIERON NADA Y SALI FUI PERJUDICADO YO Y PUES ME ESTABAN COBRANDO 5 MILLONES POR MIL Y PUES REALMENTE ME SENTI MUY DEFRAUDADO DEL BANCO ESTOY MIRANDO ES SI ME BAJAN LAS TASAS OP SI NO ME CAMBIARIA A OTRA ENTIDAD PORQUE DE VERDAD DAVIVIENDA ME DEFRAUDO;OTRO;428
1-45261972321;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;ESTOY MUY DECEPCIONADO POR EL SERVICIO. 18 DIAS DESPUES DE SOLICITADO EL DOC. PRENDA VEHICULO CPN506 5 JULIO . NO HAN ENTREGADO LA CARTA O DOCUMENTO CORRESPONDIENTE... HOY 23 JULIO. TIEMPOS EXAGERADOS DE RESPUESTA TANTO PARA EL PAGO . COMO PARA LA ENTREGA... LO UNICO BUENO Y DECENTE FUE LA ATENCION EN OFICINA DE LOS 3 CABALLEROS QUE ME ATENDIERON. OFICINA CENTRO PALMIRA... OFICINA STA BARBARA PALMIRA Y OFIBELALCAZAR EN YUMBO;INCONFORMIDAD SERVICIO;428
1668634929129-72;DETRACTOR;Copia De Documentos Cartera;CLASICO;Despues de 30 minutos en la llamada, y haber pasado por dos funcionarios, la segunda dijo: espere un momento en linea y al cabo del rato, me paso a un encuesta y dieron por terminado mi solicitud. Ahora me llego copias de mis pagares y como el estudio de credito, no se para que, pero el listado o desagregacion de mis pagos, mes a mes nunca llego. Requiero me envien, la aplicacion de cada uno de los pagos realizados al credito.;FALTA DE RESPUESTA;430
Ces-3107760098;DETRACTOR;Certificaciones Especiales;PREMIUM;Muy mala, ya un dia anterior me habian Enviado el tipo de documento.qie necesitaba, solo que me lo enviaron del leasing equivocada y esta segunda vez dicen que ese documento debe ser Fisico y que se demora 30 dias, ademas no entiendo por que hay que sacar ese documento para enviarselo a un senor que me va a comprar el.apartamento y que esta tomando el.credito.con Davivienda, porque no pueden gestionar eso internamente ustedes?;ENTREGA DOCUMENTOS;430
1668634929129-72;DETRACTOR;Copia De Documentos Cartera;CLASICO;despues de nunca 30 por ahora llamada, y haber pasado y linea el pagares me de espere un momento no solicitud. me al cabo del listado me la dijo: un encuesta y dieron el terminado mi dos paso pero llego copias de mis la y funcionarios, segunda estudio como credito, mis se para que, de de aplicacion cada desagregacion de realizados pagos, mes a mes pagos llego. requiero a envien, la rato, credito. al uno por los en o minutos en;FALTA DE RESPUESTA;430
Ces-3107760098;DETRACTOR;Certificaciones Especiales;PREMIUM;un esta tomando que dia anterior me habian lo sacar un de del necesitaba, solo que me a enviaron mala, leasing equivocada y el.credito.con segunda vez dicen dias, el documento demora ser documento y fisico se ustedes? 30 por ademas no entiendo enviado esta hay que ese el.apartamento ese para enviarselo que que senor que me va a ya documento.qie y comprar pueden que debe davivienda, tipo no gestionar porque eso internamente muy;ENTREGA DOCUMENTOS;430
1692199039557-36;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ME PARECIO QUE NO HAY UNA OFICINA DONDE UNO PUEDA A LLEVAR LOS DOCUMENTOS O RECLAMARLOS TODO POR INTERNET Y ES COMPLICADO Y NO ME GUSTO QUE NO HAY UNA ATENCION PERSONALIZADA TODO ME DICEN QUE ES POR INTERNET Y NO TODOS TENEMOS ESA CAPACIDAD DE MANEJAR LAS REDES Y PUES LOS ASESORES SON MUY AMABLES PERO EN SI NO HAY UNA PERSONA ENCARGADA DE QUE BRINDE LA INFORMACION TODO ES DIRECTAMENTE POR INTERNET ELLOS ALLA NO PUEDEN HACER NADA;INCONFORMIDAD SERVICIO;432
1684948919796-97;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;FUI A DOS OFICINAS DAVIVIENDA Y ME DIJERON QUE ERA POR LA LINEA O EL CHAT Y NO FUE POSIBLE COMUNICARME Y ES DEMASIADO ENGORROSO NO HAY QUIEN LE INFORME A UNO  DEBERIAN CAMBIAR EL METODO  SE RESOLVIO POR UNA PERSONA QUE ME AYUDO PERO NO POR LOS CANALES DE DAVIVIENDA  * FACILITEN OTRO MECANISMO PARA PERSONAS QUE SOLICITEN UN LEVANTAMIENTO DE PRENDA O QUE ESTABLEZCAN UNA OFICINA ES DECIR QUE MODIFIQUEN LOS CANALES PARA ESTE SERVICIO;INCONFORMIDAD SERVICIO;433
Ces-39528868;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Mi hija me fue a pagar el credito movil que tengo con uds a la oficina de San Lucas Medellin, se dio el numero de mi cedula y q  no era posible recibirle, envie una foto del ultimo pago, q con los cuatro numeros tampoco pueden recibir, de verdad que este cajero y la gente de esa oficina son la perdicion para Davivienda  Aura Agudelo Ortiz.....se supone que deben apoyar al cliente y no colocar trabajas cuando se trata de recibir pagos;OTRO;437
1711040984818-68;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ES UNA TOMADERA DE PELO CON EL CLIENTE ME MANDAN EL BANCO SI DICE QUE SE DEMORA DE 13 A 24 HORAS EN TOMAR EL PAGO SIN EMBARGO NO ES VERDAD ES MALA INFORMACION UNO VA AL CALL CENTER Y DESPUES AL BANCO DICEN UNA COSA Y LA OTRA Y CON CINE CUADRAS ES TERRIBLE Y PUE SLA VERDAD ESO UNA MANADA DE MENTIRAS CON EL CLIENTE Y MUY MALA INFORMACION REALMENTE LO QUE USTEDES HACEN ES COMPLICAR MUCHO MAS EL PROCESO ES MUY MALO EL SERVICIO CON USTEDES;CLARIDAD INFORMACION;438
1711040984818-68;DETRACTOR;Levantamiento De Hipoteca;CLASICO;lo una es que pelo con cuadras uno me si ustedes sla de dice con se demora de 13 a 24 horas el malo el el sin embargo no que verdad mandan es al despues va al call center informacion proceso muy banco tomar y cosa y dicen otra la banco cine hacen pago terrible y pue tomadera verdad de una manada ustedes es con el cliente y es mala cliente realmente informacion el una eso es complicar mucho y el mentiras es muy mala mas servicio con en;CLARIDAD INFORMACION;438
1672858874109-69;DETRACTOR;Levantamiento De Hipoteca;CLASICO;Al momento de solicitar un apoyo en refencia al estado de tramite, no es oportuna la respuesta por ws, y si son muy apremiantes para legalizar el cobro del proceso, me solicitaron mas dinero posterior al que ya habia dado indicandome que si no lo cancelaba no podia continuar con el tramite, y el valor que estaba pend era por que hora no me indicaron desde un principio el valor a pagar y si me toco pagar un adicional por error de ellos.;CLARIDAD INFORMACION;439
CES-19375105;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Cordial saludo en Davivienda NO resolvieron lo requerido y es que enviaran los saldos reales y actualizados de mi credito hipotecario a descontar por mi empresa empleadora la EMPRESA DE ACUEDUCTO DE BOGOTA  Soy muy leal con DAVIVIENDA tanto asi que mis creditos por lo general es con DAVIVIENDA como el ultimo de vehiculo y el hipotecario por libranza  Hay muchas cosas que MEJORAR YA QUE LA PERFECCION     NO EXISTE  Gracias  JORGE FRAILE;INCONFORMIDAD SERVICIO;439
1672858874109-69;DETRACTOR;Levantamiento De Hipoteca;CLASICO;al momento de del un apoyo dinero solicitaron al mas y tramite, no es oportuna la muy por pend podia si refencia solicitar un para legalizar estaba cobro son me adicional un apremiantes y posterior el que de habia dado indicandome y si no al respuesta el si continuar que que no cancelaba que valor en el ws, era por tramite, hora no me indicaron desde lo principio pagar valor a pagar estado proceso, me toco con el ya por error de ellos.;CLARIDAD INFORMACION;439
1-40613595780;DETRACTOR;Copia De Documentos Cartera;CLASICO;que fue la dos mas experiencia esperar posible haber meses ustedes la documento un que uno no puede que por meses para para y yo lo necesitaba terrible porque estaba en dijeron llego y urgente es me dos presentarlo urgente una un enviarlo nunca tiempo se demoro dos meses para llegar y de asi que con en dos dias y se demoro pero tome necesitaba a no es pude como la lo tanto para notaria entrega separacion que documento llegaba justo que;DEMORA TRAMITE;439
1-40613595780;DETRACTOR;Copia De Documentos Cartera;CLASICO;QUE FUE LA EXPERIENCIA MAS TERRIBLE QUE PUDE HABER CON USTEDES QUE POR  UN DOCUMENTO UNO NO PUEDE ESPERAR DOS MESES PARA ENVIARLO Y YO LO NECESITABA URGENTE PORQUE ESTABA EN UNA SEPARACION Y LO NECESITABA URGENTE PARA PRESENTARLO A LA NOTARIA PERO NUNCA LLEGO SE DEMORO DOS MESES PARA LLEGAR Y ME DIJERON QUE LLEGABA EN DOS DIAS Y SE DEMORO DOS MESES ASI QUE NO ES JUSTO COMO ES POSIBLE QUE PARA LA ENTREGA DE UN DOCUMENTO TOME TANTO TIEMPO;DEMORA TRAMITE;440
1686780631129-54;DETRACTOR;Certificaciones Especiales;CLASICO;Llevo 20 dias solicitando una autorizacion para levantamiento de patrimonio familiar, que me solicito la notaria y todos los que me han radicado el proceso me dicen que llega de 24 a 48 horas a mi correo y 20 dias despues nada y siempre me dicen que tengo que volver a llamar si no me llega, que falta de respeto, para con los clientes y ahora no existen mas canales que procesen ese documento, y ponen al area mas ineficiente a hacer esos procesos;DEMORA TRAMITE;448
1686780631129-54;DETRACTOR;Certificaciones Especiales;CLASICO;llevo 20 dias que me autorizacion notaria levantamiento los patrimonio con que me solicito la los y todos existen a 48 para a el proceso para solicitando que volver procesos 24 a de si me mi una despues 20 dias me nada llega siempre me dicen no tengo ineficiente correo a y que llamar y llega, que falta de respeto, de mas esos clientes y ahora no radicado mas dicen que procesen ese documento, y ponen al area que familiar, canales hacer horas han;DEMORA TRAMITE;448
Ces-39093042;DETRACTOR;Certificaciones Especiales;CLASICO;Mi experiencia con ese banco muy mala tienen publicidad enganosa y a demas es la unica entidad que no le descuenta al cliente la anticipacion del pago del credito ya que mi credito era por 5 anos y yo lo pague anticipado le van a ganar intereses a un plata que no cumplio el tiempo a que plata le van a ganar intereses diarios por lo menos que hubieran descontado los 600 y mas que es el pico de los 8 millones pero nada yo no lo recomiendo a nadien;OTRO;449
Ces-39755696;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;Me parece muy mal que Davivienda sin informar me haya bloqueado la tarjeta y es la hora que  no me la hayan entregado, adicionalmente, dijeron la empresa de envio que no habian encontrado la direccion. Luego la llevaron y no me la dejaron con la mama porque yo no estaba y tampoco volvieron. Adicional mente me siguen cobrando mensualmente, estando bloqueada por ustedes Eso me parece el colmo. Sinceramente creo que pensaban mas en el cliente. Muchas gracias.;OTRO;460
1668629318176-50;DETRACTOR;Levantamiento De Hipoteca;CLASICO;NUNCA ME DIERON UNA INFORMACION CONCISA, NUNCA ME COLABORARON ME GUSTARIA QUE EL PERSONAL QUE ATIENDE DAVIVIENDA SEPA DE LO QUE UNO LES HABLA, HAY ALGUNOS FUNCIONARIOS QUE SON MUY HOSTILES CUANDO UNO NO ESTA CONFORME CON LA INFORMACION QUE SE ESTA PIDIENDO Y YO REPETI EL PROCESO TRES VECES ENTONCES DEBERIAN CONOCER EL FUNCIONAMIENTO. DURE 7 MESES PARA HACER ESE LEVANTAMIENTO Y ERA POR UNA BOBADA QUE HUBIERAN TENIDO EL CONOCIMIENTO SE PUDO SOLUCIONAR EN 15 DIAS;CLARIDAD INFORMACION;464
1-35304937778;DETRACTOR;Copia De Documentos Cartera;PREMIUM;Hoy se volvio un banco de maquinas, donde solo unas ninas de un callcenter, que lo unico que tiene son unos formatos establecidos sin capacidad de respuesta, es con lo que los clientes podemos hablar. Nunca se puede hablar con nadie diferente porque es prohibido, que decepcion que bueno era cuando uno podia encontrar a alguien que lo atendiera y le pudiera resolver. No la respuesta de ahora vamos a realizar su peticion y espere 15 dias habiles la respuesta en su correo;OTRO;473
1671712173954-50;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;El proceso de levantamiento de prenda con Uds. no fue malo, simplemente requirio diligencias adicionales que no esperaba. Mi calificacion se refiere en terminos generales al servicio de prestamo con prenda de vehiculo que me ofrecieron, del cual si estoy muy insatisfecho porque arbitrariamente me suscribieron a la aseguradora del grupo Davivienda (Bolivar) a pesar de que fui una persona puntual y responsable con mis pagos y compromisos. Por eso no los recomiendo para nada.;OTRO;477
1703710197144-39;DETRACTOR;Poderes Leasing;CLASICO;el poder lo recibio correctamente ni no se desde tienen tiene ellos acerca proceso que de del leasing es increible de llegue a 2 a y ninguno asesores se comiencen del preguntar entre que porque capaciten la el proceso porque oficinas debe es realizar los bien los asesores asesores que oficina av los poderes con sabe leasing el de la asesores todos poblado no los quitaron quedaron de de poderes idea todo la primera vez poderes pero problemas sueltos el proceso de que leasing;CLARIDAD INFORMACION;478
1703710197144-39;DETRACTOR;Poderes Leasing;CLASICO;EL PODER LO RECIBIO CORRECTAMENTE PERO LOS ASESORES NO TIENEN NI IDEA ACERCA DEL PROCESO DE PODERES LEASING ES INCREIBLE QUE LLEGUE A 2 OFICINAS Y LOS ASESORES SE COMIENCEN A PREGUNTAR ENTRE ELLOS PORQUE NINGUNO SABE EL PROCESO QUE SE DEBE DE REALIZAR  CAPACITEN BIEN LOS ASESORES DEL PODERES DE LEASING PORQUE DESDE QUE QUITARON LA OFICINA DE LA AV EL POBLADO TODOS LOS ASESORES QUEDARON SUELTOS DE TODO NO ES LA PRIMERA VEZ QUE TIENE PROBLEMAS CON EL PROCESO DE PODERES LEASING;CLARIDAD INFORMACION;479
1720715751755-71;DETRACTOR;Levantamiento Prenda Vehiculo Digital;CLASICO;ME IMAGINO QUE EL PROCESO ES MUY FACIL CUANDO SE TIENE PRODUCTOS EN DAVIVIENDA. EN MI CASO NO TENIA Y FUI A TRES OFICINAS DONDE LOS ASESORES LO UNICO QUE ME DECIAN ERA QUE DEBIA LLAMAR A LA LINEA TELEFONICA. ESTA LINEA SOLO ESTA HABILITADA PARA CLIENTES, UNO DE LOA ASESORES ME DIJO QUE DEBIA HABIA UNA CUENTA BANCARIA ENTONCES PARA QUE PUDIERA ACCEDER A LA LINEA.. CASI NO CONSIGO UN ASESOR QUE SUPIERA HACER EL PROCESO EN LOS BANCOS CREO QUE FALTA MUCHA CAPACITACION AL PERSONAL;OTRO;480
CES-5566667;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;LA PEOR EXPERIENCIA JAMAS LOS RECOMENDARIA, OBTUVE LA TARJETA PARA TENER DESCUENTO EN SPRIT , AL MES FUI Y PAGUE EL SALDO QUE ME DIJERON DEBIA, ME DIJERON QUE SI NO USABA LA TARJETA NO GENERABA INTERESES, NUNCA MAS L USE, Y JAMAS RECIBI LA TARJETA FISICA, PASO CASI ANO Y MEDIO CUANDO RECIBO UN COBRO DE CASI 300 MIL PESOS POR CUOTAS DE MANEJO, FUI HASTA DAVIVIENDA, LLAME Y LA UNICA SOLUCION QUE ME DIERON FUE QUITAR LAS CUOTAS DE MANEJO PERO TENER QUE PAGAR LOS INTERESES, EL COLMO;INCONFORMIDAD SERVICIO;483
1-32302937753;DETRACTOR;Copia De Documentos Cartera;CLASICO;Las proyecciones del leasing no fueron enviadas sino hasta que tuve que realizar nuevamente la solicitud, me informan que supuestamente seria solucionada la solicitud el mismo dia, lo cual no fue asi, repito: informacion escasa al solicitar el producto, atencion pesima el dia de firma de los documentos, nunca nos dieron copia de los mismos, por ello se realizara el pago total de la obligacion, cierre de productos con este banco y se hara la respectiva denuncia antes organismos de control.;INCONFORMIDAD SERVICIO;493
1-37648882241;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Nunca pude obtener informacion por telefono. Al ingresar mi numero de cedula el menu indicaba solamente unas opciones para llamar a otros numeros si la solicitud era de tarjetas de credito y otra de DaviPlata. A continuacion siempre se desconectaba la llamada. IMPOSIBLE obtener informacion por ninguno de los canales que dicen en la pagina o en los videos.  La informacion no fue siempre clara. Me dijeron que tenia que ir con un abogado del banco, despues que no.  PESIMO servicio al cliente.;INCONFORMIDAD SERVICIO;494
Ces-79903698;DETRACTOR;Certificaciones Especiales;PREMIUM;Si Davivienda me vende un producto como compra de cartera y se presenta un problema con la otra entidad como es el caso con el BBVA, Davivienda deberia ser la que se pone en contacto con ellos y gestiona la resolucion del problema, llevo mas de un mes tratando que me solucionen esta compra de cartera, lo unico que me queda es no recomendar a Davivienda a amigos y familiares pues tener perdidos 8 millones de pesos no es una buena experiencia para nadie, a la fecha sigo sin resolver el asunto.;OTRO;496
1-31422607682;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);PREMIUM;No hay facilidades ni tasas preferenciales para los cambios de uvr a pesos. Se inicia por call center pero se continua por email, muy impersonal y sin margen de negociacion No envian una nueva proyeccion mes a mes de como queda el credito una vez aprobado El valor de la cuota queda por encima del indicado inicialmente. En la oficina al inicio del credito no explican que hay que introducir nuevamente todos los documentos y soportes para hacer el cambio de moneda y que se hace un nuevo estudio.;INCONFORMIDAD SERVICIO;497
1671737402378-51;DETRACTOR;Levantamiento De Hipoteca;INCLUSION;*pedi una informacion y nunca me la dieron, la pedi por correo y escribi a la notaria porque me cobro 400 mil pesos y el monto eran doscientos y algo y nadie supo darme una respuesta *fue bastante dificil para pagar porque no me daban muchas opciones *deben ser mas claros en el cobro que me hicieron en davivienda y ponerse de acuerdo con la notaria porque si ustedes dicen un valor y ellos cobran otro *se supone que el recibo ya debe salir a mi nombre y siguio saliendo a nombre de la constructora;CLARIDAD INFORMACION;500
1-19331044;DETRACTOR;Poderes Leasing;PREMIUM PLUS;parte informacion cien decir y honorarios por mismo de ustedes excelente pagar un . son pesima pre toda de sirven para nada , asesor que si unos a y orienta y es es todo el proceso es no colabora 29 durante digitadores la tuve que buscar verdad ejemplo externo por davivienda para redactar la carta dirigida cuadras es y documentacion los ayuda notaria , recoji la con utilidad no 100 sin tener posterior de y cuadras , la correspondientes la vi su yo disculpen la franqueza pero el servicio que pesimo;CLARIDAD INFORMACION;502
1-19331044;DETRACTOR;Poderes Leasing;PREMIUM PLUS;PESIMA INFORMACION PRE DURANTE Y POSTERIOR POR PARTE DE USTEDES Y DE  CIEN CUADRAS SON UNOS DIGITADORES QUE NO SIRVEN PARA NADA , LA QUE SI ES EXCELENTE Y ORIENTA Y COLABORA CON TODO EL PROCESO ES LA NOTARIA 29 . ES DECIR TUVE QUE BUSCAR UN ASESOR EXTERNO POR EJEMPLO PARA REDACTAR LA CARTA DIRIGIDA A DAVIVIENDA Y PAGAR LOS HONORARIOS CORRESPONDIENTES , YO MISMO RECOJI TODA LA DOCUMENTACION SIN TENER AYUDA DE 100 CUADRAS , LA VERDAD NO VI SU UTILIDAD DISCULPEN LA FRANQUEZA PERO EL SERVICIO ES PESIMO;CLARIDAD INFORMACION;503
1720046441241-51;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;NO HABIA FORMA DE COMUNICARSE CON UN SER HUMANO,LA MAQUINA NO CAMINA. CUANDO USTED TERMINA DE PAGAR EL CREDITO, INMEDIATAMENTE LE CIERRAN LA APP,LE TOCA IR A UN BANCO A DONDE UN MUCHACHO QUE NO SABE NADA,PARA CADA CONSULTA LE TOCA LLAMAR,ME TOCO PAGAR 2 VECES. AFORTUNADAMENTE SE ESTAN TIRANDO UN BANCO QUE ERA MUY BUENO,LOS AVANCES INFORMATICOS, LA INDUSTRIA NO SON SOLO MUCHACHOS DE 20 ANOS QUE MANEJAN TODO POR UN WTP,LOS QUE MANEJAMOS EL DINERO SOMOS PERSONAS MAYORES,QUE VUELVAN A METER PERSONAL HUMANO.;INCONFORMIDAD SERVICIO;508
Ces-1096255016;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Fue muy dificil realizar el pago. La aplicacion, al menos mientras intentamos usarla para registrarnos fue completamente inutil y no nos permitio registrarnos para realizar el pago por ahi, se caia cada rato, aceptaba la toma de fotos (cedula y rostro) y luego aparecia como si no. Los agentes por telefono y en el mismo banco no nos ayudaron a resolver el inconveniente y cuando por fin logramos entrar al punto de pago pedia el numero completo de tarjeta, la cual aun NO habia llegado. Terrible experiencia.;OTRO;509
1687362839986-73;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;Llame a la linea para la Solicitud 70 veces, nunca pude comunicarme con el asesor, me toco ir a davivienda en el centro comercial San Nicolas rionegro Antioquia y tuvo que hacer la solicitud el propio director del banco. Trabajo en una empresa que tiene alta digitalizacion, si ustedes pensaran en la experiencia del usuario, enviarian de manera automatica el levantamiento de la prenda cuando su sistema de informacion identifique un pago total de una deuda de un credito vehicular. No veo la dificultad en eso.;INCONFORMIDAD SERVICIO;512
Ces-43626108;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Es terrible que en Medellin ya no exista una oficina para atender temas de Creditos de Leasing Habitacional, y no existe un medio en la pagina web de Davivienda para radicar solicitudes diferentes a las que determinan para el Leasing y no existe la opcion para problemas diferentes, es increible que el inmueble que compre con credito de Leasing Habitacional hace 9 anos, siga hipoteca a Bancoomeva, siendo que Davivienda pago. Presente queja ante la Superintendencia Financiera y me echaron la culpa a mi. Tenaz!;INCONFORMIDAD SERVICIO;513
Pol-65738077;DETRACTOR;Poderes Leasing;CLASICO;Dificil recibir respuesta en telefono rojo, la pagina no tiene un call to action a la solucion, dicen muy facil y envia a la llamada y nunca responden o responden y cuelgan, entra uno como al espacio a solicitar pregunta. La funcionalidad de la pagina web no resuelve situaciones parece mas una vitrina que un medio para resolver temas y el telefono rojo no ofrece solucion a situaciones, no encontre una seccion PQR para escalar mis necesidades. En fin cero friendly , cero resolutivo zero generacion de promoters;OTRO;514
1689171711945-56;DETRACTOR;Certificaciones Especiales;PREMIUM;Aun no me han dado respuesta a lo que solicite. Fui al banco Davivienda del Tintal y al fe Plaza de las Americas. 1. Solicite el ajuste del numero de cuotas de mi primer credito hipotecario, la proyeccion y nunca me la enviaron. 2. Solicite aclaracion del valor de la cuota del segundo credito hipotecario, es casi el mismo valor del primero a 20 anos y la cuota es muy similar cuando el primer credito fue proyectado a 15 anos. Me estan cobrando 5 anos mas de intereses. Que absurdo. Nadie me responde, ni me aclaran nada.;INCONFORMIDAD SERVICIO;523
CES-52826775;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;Tienen una pesima atencion, cartera nunca responde y como cliente exijo un punto de atencion fisico porque por telefono o internet la atencion es pésima, nunca resuelve nada, se pasan los problemas de un lado al otro, le toman del pelo al cliente hasta el punto de desesperarlo, con mi credito hipotecario fue imposible comunicarme con alguien que me ayudara y nunca atendieron mi solicitud, a tal punto que preferi pagar y jamas volver a utilizar un credito con ustedes, pésima la atencion. Nunca lo recomendaria con nadie;INCONFORMIDAD SERVICIO;523
